scenario,seed,target_id,target_type,spawn_time,detection_time,detection_delay,assigned_uav,assignment_time,tracking_start,tracking_end,tracking_duration,loss_events,reacq_events,handover_events,localization_errors,avg_loc_error,tracking_accuracy,final_status,state_changes
Time-Varying Only,42,5,time_varying,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,3
Time-Varying Only,42,6,time_varying,0.2,13.999999999999966,13.799999999999967,7,13.999999999999966,14.099999999999966,22.100000000000044,8.000000000000078,0,0,1,0.0000,0.0,0.875,completed,1
Time-Varying Only,42,7,time_varying,0.2,0.2,0.0,6,0.2,0.30000000000000004,8.399999999999986,8.099999999999987,0,0,1,0.0000,0.0,0.6666666666666666,completed,0
Time-Varying Only,73,0,time_varying,0.2,4.100000000000001,3.9000000000000012,7,4.100000000000001,4.200000000000001,16.99999999999997,12.79999999999997,1,1,0,0.0000,0.0,0.3181818181818182,completed,0
Time-Varying Only,73,1,time_varying,0.2,45.400000000000375,45.20000000000037,1,45.400000000000375,45.50000000000038,53.50000000000049,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,2
Time-Varying Only,73,2,time_varying,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,3
Time-Varying Only,73,3,time_varying,0.2,2.800000000000001,2.600000000000001,3,2.800000000000001,2.9000000000000012,10.999999999999977,8.099999999999977,0,0,0,0.0000,0.0,1.0,completed,0
Time-Varying Only,73,4,time_varying,0.2,76.49999999999993,76.29999999999993,9,76.49999999999993,76.59999999999992,84.69999999999946,8.09999999999954,0,0,0,0.0000,0.0,1.0,completed,2
Time-Varying Only,73,5,time_varying,0.2,64.10000000000063,63.90000000000063,8,64.10000000000063,64.20000000000063,72.30000000000017,8.09999999999954,0,0,0,0.0000,0.0,0.7142857142857143,completed,2
Time-Varying Only,73,6,time_varying,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,3
Time-Varying Only,73,7,time_varying,0.2,0.2,0.0,6,0.2,0.30000000000000004,8.399999999999986,8.099999999999987,0,0,0,0.0000,0.0,1.0,completed,0
Time-Varying Only,137,0,time_varying,0.2,6.299999999999994,6.099999999999993,9,6.299999999999994,6.399999999999993,23.800000000000068,17.400000000000077,1,1,0,0.0000,0.0,0.125,completed,1
Time-Varying Only,137,1,time_varying,0.2,6.8999999999999915,6.699999999999991,3,6.8999999999999915,6.999999999999991,15.099999999999962,8.099999999999971,0,0,0,0.0000,0.0,0.7857142857142857,completed,0
Time-Varying Only,137,2,time_varying,0.2,22.50000000000005,22.30000000000005,7,22.50000000000005,22.60000000000005,30.600000000000165,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,1
Time-Varying Only,137,3,time_varying,0.2,0.30000000000000004,0.10000000000000003,0,0.30000000000000004,0.4,8.499999999999986,8.099999999999985,0,0,1,0.0000,0.0,1.0,completed,0
Time-Varying Only,137,4,time_varying,0.2,2.9000000000000012,2.700000000000001,8,2.9000000000000012,3.0000000000000013,11.099999999999977,8.099999999999975,0,0,0,0.0000,0.0,0.7857142857142857,completed,0
Time-Varying Only,137,5,time_varying,0.2,61.90000000000061,61.70000000000061,2,61.90000000000061,62.00000000000061,70.10000000000029,8.099999999999682,0,0,0,0.0000,0.0,1.0,completed,2
Time-Varying Only,137,6,time_varying,0.2,57.70000000000055,57.50000000000055,2,57.70000000000055,57.80000000000055,,4.90000000000007,1,0,0,0.0000,0.0,0.43478260869565216,lost,2
Time-Varying Only,137,7,time_varying,0.2,19.200000000000003,19.000000000000004,1,19.200000000000003,19.300000000000004,27.300000000000118,8.000000000000114,0,0,0,0.0000,0.0,0.9411764705882353,completed,1
Time-Varying Only,256,0,time_varying,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,3
Time-Varying Only,256,1,time_varying,0.2,7.499999999999989,7.299999999999989,5,7.499999999999989,7.599999999999989,19.300000000000004,11.700000000000015,0,0,0,0.0000,0.0,0.5238095238095238,completed,0
Time-Varying Only,256,2,time_varying,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,3
Time-Varying Only,256,3,time_varying,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,3
Time-Varying Only,256,4,time_varying,0.2,15.99999999999996,15.79999999999996,3,15.99999999999996,16.09999999999996,24.100000000000072,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,1
Time-Varying Only,256,5,time_varying,0.2,15.099999999999962,14.899999999999963,5,15.099999999999962,15.199999999999962,23.20000000000006,8.000000000000098,0,0,0,0.0000,0.0,0.75,completed,1
Time-Varying Only,256,6,time_varying,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,3
Time-Varying Only,256,7,time_varying,0.2,10.899999999999977,10.699999999999978,8,10.899999999999977,10.999999999999977,21.00000000000003,10.000000000000052,0,0,0,0.0000,0.0,0.631578947368421,completed,1
Time-Varying Only,999,0,time_varying,0.2,63.700000000000635,63.50000000000063,9,63.700000000000635,63.80000000000064,71.90000000000019,8.099999999999554,0,0,0,0.0000,0.0,0.7857142857142857,completed,2
Time-Varying Only,999,1,time_varying,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,3
Time-Varying Only,999,2,time_varying,0.2,9.799999999999981,9.599999999999982,9,9.799999999999981,9.89999999999998,18.599999999999994,8.700000000000014,0,0,0,0.0000,0.0,0.8125,completed,0
Time-Varying Only,999,3,time_varying,0.2,13.599999999999968,13.399999999999968,3,13.599999999999968,13.699999999999967,21.70000000000004,8.000000000000071,0,0,0,0.0000,0.0,0.75,completed,1
Time-Varying Only,999,4,time_varying,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,3
Time-Varying Only,999,5,time_varying,0.2,21.500000000000036,21.300000000000036,1,21.500000000000036,21.600000000000037,29.60000000000015,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,1
Time-Varying Only,999,6,time_varying,0.2,0.2,0.0,6,0.2,0.30000000000000004,8.899999999999984,8.599999999999984,0,0,0,0.0000,0.0,0.375,completed,0
Time-Varying Only,999,7,time_varying,0.2,0.2,0.0,3,0.2,0.30000000000000004,8.399999999999986,8.099999999999987,0,0,0,0.0000,0.0,1.0,completed,0
Mixed (2S+2D+4TV),42,0,static,0.2,12.399999999999972,12.199999999999973,7,12.399999999999972,12.499999999999972,20.50000000000002,8.00000000000005,0,0,0,0.0000,0.0,0.5333333333333333,completed,0
Mixed (2S+2D+4TV),42,1,static,0.2,47.1000000000004,46.9000000000004,4,47.1000000000004,47.2000000000004,55.200000000000514,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Mixed (2S+2D+4TV),42,2,dynamic,0.2,50.70000000000045,50.50000000000045,0,50.70000000000045,50.80000000000045,58.800000000000566,8.000000000000114,0,0,0,0.0000,0.0,0.7647058823529411,completed,0
Mixed (2S+2D+4TV),42,3,dynamic,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
